MSOA21CD,%_not deprived,%_deprived-1,%_deprived-2,%_deprived-3,%_deprived-4
E02000327,37.78457356439008,28.882093102276592,16.92150866462793,5.368671423717295,0.509683995922528
E02000328,52.18759836323576,25.87346553352219,11.205539817437835,3.367957192319799,0.09442870632672333
E02000329,41.05803395183577,34.38610343466246,15.75207264113699,5.527043031977892,0.47374654559810503
E02000331,42.64398686959117,29.63294538943599,16.65174574753805,5.819158460161146,0.47746941211578636
E02000332,49.02269861286255,31.368221941992434,11.633039092055487,2.427490542244641,0.15762925598991173
E02000333,55.2993916106308,25.520333013128404,9.029779058597502,2.2094140249759846,0.2561639449247518
E02000334,44.34423149192033,32.01803833145434,14.05486659150695,4.772641863960917,0.3382187147688839
E02000335,50.97305389221557,31.58682634730539,11.826347305389222,2.619760479041916,0.0
E02000337,37.94628751974724,33.77567140600316,18.736176935229068,6.666666666666667,0.2843601895734597
E02000339,48.42183438544374,32.00891199405867,12.848124767916822,2.7107315261789826,0.25993316004455996
E02000340,47.17804801995635,31.11942625506704,13.15871531025881,2.5880885562831306,0.12472715933894606
E02000341,34.62414578587699,33.094695737064754,19.78522616335828,7.875040676863001,0.292873413602343
E02000342,45.365053322395404,29.69647251845775,15.545529122231338,5.086136177194422,0.3691550451189499
E02000343,42.672877104980294,31.13579362235758,17.126477964887137,5.123611608742387,0.42995342171264783
E02000344,52.67716535433071,29.448818897637796,11.73228346456693,2.4803149606299213,0.03937007874015748
E02006786,40.746915638546184,33.27775925308436,15.87195731910637,5.468489496498833,0.46682227409136384
E02006927,51.218151385530966,27.5804351869072,11.623581923005395,4.017109912590664,0.14878184861446903
E02006928,57.86486965774073,23.30200390140096,8.937754921085299,3.0501862032275224,0.212803688597269
E02006930,55.767977406039535,24.918531392570063,8.385835324788182,2.4331957419074515,0.30414946773843143
E02006931,53.05662079855629,27.385517708098355,9.903000225580872,2.6618542747575007,0.3158132190390255
E02006991,60.687342833193625,22.43643475831238,5.7837384744342,1.31321598211791,0.05588153115395362
E02006992,54.414241039210964,23.622804907385134,9.333654077459705,3.2475342795285065,0.07216742843396681
E02006993,54.12844036697248,23.12892322549493,7.967165620473201,2.1728633510381457,0.14485755673587639
E02006994,37.00280112044818,34.817927170868344,15.042016806722689,4.873949579831933,0.2801120448179272
E02000345,30.573878627968337,33.21240105540897,15.699208443271766,4.749340369393139,1.121372031662269
E02000346,39.42181340341656,27.157249233464743,14.673674989049495,5.387647831800263,0.3504161191414805
E02000347,32.87671232876712,34.24657534246575,14.132976946207817,4.577347143334447,0.4343468092215168
E02000348,28.76491454369558,32.53789100290229,17.929700096742987,7.481457594324412,1.1609158336020637
E02000350,41.44884241971621,31.889469753547424,12.82051282051282,5.177993527508091,0.597460791635549
E02000351,45.23757389971535,30.523319465732428,12.480840814539086,4.072695423691702,0.37223560324063937
