MSOA21CD,MSOA21NM,Log10-tot,Log10-VSO,Log10-ASB,Log10-Bur
E02000406,Haringey 010,2.1081893680324075,1.514601253139404,1.5701185809892355,1.2213769467650628
E02000407,Haringey 011,2.39219072584964,1.7155549874330547,1.8529571783449814,1.3109785714275253
E02000408,Haringey 012,2.047217480588959,1.4780777551164996,1.4437497263366064,1.2755875812762802
E02000409,Haringey 013,2.118116277037543,1.5574489708678054,1.5267801511013537,1.2794961551385244
E02000410,Haringey 014,1.8240456559775786,1.106190307481186,1.1567466809236298,1.1723845980181344
E02000411,Haringey 015,1.97741894411753,1.3610917788119552,1.5293777921639646,1.1871894471170996
E02000412,Haringey 016,2.6741568264880438,1.90514895554427,1.985916778673216,1.6182602846899217
E02000413,Haringey 017,2.0292190585587937,1.2788357725469635,1.5813305064692182,1.2874905970275068
E02000414,Haringey 018,2.037461377913644,1.4761799385066592,1.5425410308375735,1.1287190271420269
E02000415,Haringey 019,2.113300429196226,1.4432199901335865,1.5660034147157516,1.3893686067078785
E02000416,Haringey 020,2.081884671848276,1.4983080862143272,1.5925780030561751,1.0727763332913371
E02000417,Haringey 021,2.0116857583251946,1.2876660341059998,1.3507177798530887,1.2617202616540486
E02000418,Haringey 022,2.0247523791535067,1.36964420771149,1.5536422166857593,1.3308691526266674
E02000419,Haringey 023,2.1652264037706157,1.4983682003374632,1.666490529721869,1.3481994740295793
E02000420,Haringey 024,2.279287222986409,1.5430183521932277,1.7906684210214798,1.3119408128379446
E02000421,Haringey 025,2.333022162147272,1.692722528744863,1.7595219250321632,1.2607850575655317
E02000422,Haringey 026,2.155422662151247,1.4711759146359347,1.7225181261108085,1.2525049593892852
E02000423,Haringey 027,2.123205652755371,1.5374132741418618,1.5791376084050954,1.2209257004231777
E02000424,Haringey 028,1.9267863498639644,1.2750844271138593,1.444336261639235,1.0960964733098364
E02000425,Haringey 029,1.9415482388111192,1.319401685735024,1.4570029660122499,1.1660337218929442
E02000426,Haringey 030,1.9389710162968312,1.1874175344069824,1.3384321980894016,1.2925741797225396
E02000427,Haringey 031,2.4717014900967156,1.7813272927758852,1.9478570678145968,1.4642840300144901
E02000428,Haringey 032,2.118048101125526,1.4119970516309364,1.6843367935105535,1.3137763621054728
E02000429,Haringey 033,2.1123439043199257,1.3714817386557299,1.538312636592207,1.3878396817677119
E02000430,Haringey 034,1.9073057134296654,1.2704836158424913,1.3530185038977038,1.1576548348731794
E02000431,Haringey 035,1.9859831742852858,1.283922092972125,1.4651529916802173,1.1624921533241614
E02000432,Haringey 036,2.0487482169623124,1.403760025092539,1.5586619850782821,1.3204585475023072
E02000433,Harrow 001,1.9254102805554805,1.3032320005201055,1.3930965255866967,0.9180856141457564
E02000434,Harrow 002,2.008862564879688,1.4154027453136433,1.4859838195993507,1.258848401148215
E02000435,Harrow 003,1.8009534254034496,1.2708036432376506,1.3337029247100816,0.9444158627535437
E02000436,Harrow 004,1.7690238850473508,1.0381647362978503,1.2641300521090388,1.1499667423102309
E02000437,Harrow 005,1.9406775985851434,1.3397441824204352,1.3701572188695792,1.049526964160644
E02000438,Harrow 006,1.819973822561669,1.185966014234091,1.1293925589319385,1.0796844047010874
E02000439,Harrow 007,2.0010307997720704,1.3895086807463308,1.471233386373596,1.2235947944190635
E02000440,Harrow 008,1.7258783178317694,1.0588501028552817,1.1477911861920627,0.8967437666449489
E02000441,Harrow 009,1.8290518000363842,1.0997491171905576,1.2633418307472657,1.1543114847324392
E02000442,Harrow 010,1.9594296694609632,1.3879015468870486,1.5151739510229865,1.3342627036062717
E02000443,Harrow 011,2.039149332068053,1.3992335151588655,1.5833230570325267,1.2057443828255878
E02000444,Harrow 012,1.7946819628411284,1.076915472551062,1.2152181707173433,1.2655610169569844
E02000445,Harrow 013,1.8926200477402844,1.3328978877148598,1.2838858056864426,0.9507819773298184
E02000447,Harrow 015,1.8066841807654095,1.1480507341352943,1.3303909424679772,1.1049766922777677
E02000448,Harrow 016,1.9368142393353485,1.2062586161534061,1.41417158782647,1.113212524230456
E02000449,Harrow 017,1.7857600763813095,1.2220570942986457,1.3508839005810496,0.9632380691085697
E02000451,Harrow 019,1.7735693520089633,1.1103726173270188,1.2365720064370627,0.9578900653279576
E02000452,Harrow 020,2.191814043318514,1.5727558057774762,1.6328714463850187,1.2464401523778776
E02000453,Harrow 021,1.8610106496154162,1.2034981553473485,1.1836033266304091,0.9663082442071662
E02000454,Harrow 022,1.6556195646292624,1.1029644294791612,1.1076093345249247,0.9834680590427349
E02000455,Harrow 023,2.158191519043241,1.4264750013973064,1.6104585206065596,1.0494728835327298
E02000456,Harrow 024,1.7665983884537384,1.1278714874538263,1.3080793127043395,0.7832908900360548
E02000457,Harrow 025,1.854178604510949,1.1753339529359201,1.3318716756159226,1.0216462974197706
E02000459,Harrow 027,1.994032967288384,1.3929181221047346,1.5111972290442925,0.920336472412637
E02000460,Harrow 028,1.8911625609743603,1.3424661124420136,1.417099730738918,0.741978786468543
E02000461,Harrow 029,1.8209218345220417,1.3188182917153022,1.2303963889327647,0.9560878328987459
E02000462,Harrow 030,2.037200610024285,1.4015124412324742,1.5975839707887438,1.0651409887673509
E02000463,Harrow 031,1.7724377589665312,1.2424741178701126,1.2189930220205898,0.8792765440958568
E02000464,Havering 001,1.9780827234190455,1.4938417275764353,1.4238935819651573,1.085185303922863
E02000465,Havering 002,1.940182377042605,1.4014042212588504,1.42294389911496,1.145753511778979
E02000466,Havering 003,1.8434767673267354,1.2914206744444077,1.3956299261939635,1.0221494265822249
E02000467,Havering 004,2.1119186384986923,1.5959159222816925,1.5525007954776522,1.0656921541937263
E02000468,Havering 005,1.98358238783591,1.4177345691623924,1.3256234390361048,0.944279050755803
E02000469,Havering 006,2.0729696103869593,1.5160592795947656,1.5196935642498597,1.1066698502972128
E02000470,Havering 007,1.8358873144473207,1.2063608490887314,1.3664870538726204,0.8685617945900637
E02000471,Havering 008,1.6740973838038546,1.1113923914274368,1.163975868981267,0.7211035625117926
E02000472,Havering 009,1.7040066863027856,1.122398320270728,0.9699709794128403,0.8503072837187287
E02000473,Havering 010,1.6478789575037027,1.1707577027840403,1.0122845483154301,0.8249440083759239
E02000474,Havering 011,1.9261407135884174,1.335076106561918,1.4605573722625123,0.9714287473074624
E02000475,Havering 012,1.9552014223252814,1.2895251368444336,1.4138828774036711,0.9743869595613465
E02000476,Havering 013,2.5598915836914014,1.9060412456247307,1.8542419702925161,1.2460807998504493
E02000477,Havering 014,1.622701054076113,0.9807695507104585,1.0039993914289331,0.8450015408511216
E02000478,Havering 015,1.6386354383506427,1.0432060259216935,1.0497368930806512,0.7629204997227129
E02000479,Havering 016,2.0050419978454492,1.4290696183829406,1.4557013772095306,0.9992591538660831
E02000480,Havering 017,2.03219363983583,1.4816741070970805,1.5173896593636151,1.1125294786264799
E02000481,Havering 018,1.6477114400173005,1.0994472810734166,1.151068045595163,0.646276062411051
