msoa21cd,price,Log10-price
E02000121,5348.240170550012,3.7282109016569946
E02000122,9400.156397131552,3.9731350793280154
E02000123,6411.56567656613,3.8069640953010544
E02000124,10232.604449360717,4.009986186403013
E02000125,8925.066102828783,3.9506114413654596
E02000126,8696.776857006944,3.939358327035243
E02000127,5023.361922736885,3.7009944692973327
E02000128,5727.579815125271,3.757971149895823
E02000130,6459.971289119687,3.8102305878086136
E02000131,6233.421614049051,3.794726502547778
E02000132,5581.527766127265,3.74675308954409
E02000133,6152.531828419079,3.789053869082848
E02000134,5392.613896415441,3.731799326526064
E02000135,5512.063322999511,3.741314198136017
E02000136,5664.8249025993855,3.753186490543615
E02000137,5520.56809688413,3.7419837713246764
E02000138,5538.750960503018,3.7434118383528934
E02000139,5942.111472593213,3.7739407948049077
E02000140,4608.506798243471,3.6635602324763394
E02000141,5609.316575662484,3.7489099511850448
E02000142,5441.059586822006,3.7356834820327727
E02000144,5486.184933502207,3.7392704431237487
E02000145,4676.3729852360775,3.669909142988038
E02000146,5577.320011357755,3.7464255638352264
E02000147,5652.523065753278,3.752242343208274
E02000148,6360.9303138985315,3.803520637762492
E02000149,4986.533909006059,3.6977987766389435
E02000150,5665.878097057226,3.753267226318393
E02000151,6377.198430258695,3.804629930524287
E02000152,5226.773089701052,3.718233646447515
E02000153,6109.838292488869,3.786029716034842
E02000154,5334.223308482079,3.7270711927583404
E02000155,5226.891840104842,3.7182435133497815
E02000156,5504.863928867467,3.740746588399076
E02000157,5996.123612566943,3.777870577428802
E02000158,5404.606361948666,3.732764068121141
E02000159,6186.881357337931,3.791471787856514
E02000160,5620.691307180367,3.7497897341508737
E02000161,5591.5087714081055,3.747529010513433
E02000162,5460.075229407644,3.737198626494396
E02000163,5529.191066921401,3.7426615976934667
E02000165,4225.429038852274,3.6258708126338903
E02000166,11026.42593300047,4.042434764560715
E02000167,14026.454796213027,4.1469479164309755
E02000168,10416.933335685066,4.017739884854907
E02000169,12977.034840694903,4.113175470628137
E02000170,8899.296194529206,3.949355661597882
E02000171,11267.011535421285,4.051808738957834
E02000172,8505.458471655158,3.9296977284534047
E02000173,12270.608582993926,4.088866102880354
E02000174,9673.488717640848,3.9855831294680653
E02000175,10095.255436094141,4.004117312193248
E02000176,11958.04868936418,4.077660317396486
E02000177,9440.801107024414,3.975008848280943
E02000178,9156.7587392229,3.961741771617762
E02000179,11779.192886726376,4.071115533502886
E02000180,10921.890469329384,4.038297816879586
E02000181,10611.958247872077,4.025795532607461
E02000182,12548.154467652146,4.098579856219208
E02000183,14387.776319439685,4.157993677409737
E02000184,9281.352926596457,3.967611287181013
E02000185,8240.586716869735,3.915958133884954
E02000186,12717.731339229305,4.104409646318092
E02000187,13061.275371963637,4.1159855858183105
E02000188,7758.994344387197,3.889805435306373
E02000191,13248.653834517545,4.122171752843292
E02000192,13651.371842103348,4.135176296323225
E02000193,14255.43096116551,4.153980351159821
E02000194,6414.6695639140935,3.807174289664203
E02000195,5524.218230805749,3.7422708267789058
E02000196,5049.308034172535,3.7032318657362313
E02000197,5442.316962914957,3.7357838316804726
E02000198,5050.588706604585,3.7033420032926085
E02000199,4819.827207886619,3.683031468942897
E02000200,5485.4950381219405,3.739215826554926
E02000201,4969.18288734414,3.6962849809481337
E02000202,4455.17278402587,3.648864551850753
E02000203,4477.229756579848,3.6510093815075293
E02000204,4104.808274142624,3.613292877064124
E02000206,4886.8825639263,3.6890319026763017
E02000207,4886.944208146432,3.689037380928632
E02000208,4323.507252068929,3.635836191779521
E02000209,4791.5361853902605,3.6804747722622007
E02000210,4919.508813744888,3.6919217429849978
E02000211,5260.625893843628,3.721037418311837
E02000212,4659.9530249020245,3.668381538765394
E02000213,4496.294569060242,3.6528547557475557
E02000214,4729.337344303732,3.6748002934073303
E02000215,4973.163878392629,3.6966327705752713
E02000216,4933.340798014827,3.693141117810605
E02000217,4768.510633386912,3.678382755412545
E02000218,4910.789101972321,3.6911512833850386
E02000219,5039.022392519724,3.7023462882875298
E02000221,4919.610051410114,3.691930680159144
E02000222,5081.518481915512,3.7059935094835916
E02000223,3698.1783433784112,3.5679878510301615
E02000224,4788.584305738283,3.6802071378236034
E02000225,4607.9050424760735,3.6635035207724527
E02000226,5278.38617848864,3.7225011609979544
E02000227,4664.4141400118315,3.6687971032297453
E02000228,5526.694422078256,3.7424654525546335
E02000229,4264.436247932925,3.6298616262199426
E02000230,4935.842224763784,3.6933612689324784
E02000231,5298.69851792352,3.724169209998009
E02000232,5221.141619119846,3.717765473246752
E02000233,4840.96824013336,3.6849322333989822
E02000234,4982.719111317699,3.697466405564979
E02000235,5248.333600612921,3.7200214323700256
E02000236,5183.375950207181,3.7146127093564534
E02000237,5349.534010938295,3.728315952994647
E02000238,5711.54822217472,3.756753847861928
E02000239,5645.934071582581,3.751735802518825
E02000240,5485.618038290373,3.7392255645448733
E02000241,5805.33873416005,3.763827565346704
E02000242,5832.485729627439,3.765853684876568
E02000243,5842.235504090742,3.7665790596669044
E02000244,5832.346440239218,3.765843313083504
E02000245,4679.433707431443,3.6701932990958266
E02000246,5060.049481322572,3.7041547637489454
E02000247,5439.339654293112,3.73554617875994
E02000248,7803.487738641674,3.8922887523186915
E02000249,5714.109390876128,3.7569485502572815
E02000250,7961.095316472232,3.9009728236641457
E02000251,5773.169158841069,3.761414282888366
E02000252,6240.499180344042,3.7952193304833926
E02000253,6592.245370631016,3.8190333639086966
E02000254,5172.213163682337,3.7136764152615815
E02000255,7171.899209430311,3.855634177558324
E02000256,8023.299779312372,3.9043530193081777
E02000258,7597.635219846801,3.880678438230193
E02000259,6618.362478679309,3.8207505491912026
E02000260,5018.679275843918,3.7005894425077583
E02000261,6767.882460549559,3.8304528075992295
E02000262,7683.159658821674,3.885539858077431
E02000263,6858.356855696623,3.8362200786832443
E02000264,7711.609979153934,3.887145056659224
E02000265,7411.826023801528,3.869925216665514
E02000266,5448.534579844877,3.7362797115491895
E02000267,6731.55493509783,3.828115394347646
E02000268,8236.350873780762,3.915734839560975
E02000269,8239.886167373159,3.915921212034109
E02000270,7532.519140983617,3.876940243938226
E02000271,9595.621899614254,3.982073126942078
E02000272,7633.535687979387,3.882725740328699
E02000275,5731.543824144595,3.75827161743002
E02000276,7521.907612799128,3.8763279949335034
E02000277,4790.115031800279,3.680345942866807
E02000278,4670.924717284885,3.6694028676878614
E02000279,4626.805807271732,3.66528127200905
E02000280,5639.921133482611,3.7512730310165363
E02000281,5257.766519519567,3.720801296579081
E02000282,4861.26010117812,3.6867488585738983
E02000283,4863.374164573143,3.686937683378251
E02000284,5613.738421287382,3.749252172310151
E02000285,5729.2991887325,3.758101502058101
E02000286,5572.042921027556,3.746014453102542
E02000287,7572.226885106617,3.8792236181646627
E02000288,4458.709248119402,3.649209152983304
E02000289,6504.48521159266,3.813212930626816
E02000290,4758.794749678923,3.677496973761955
E02000291,5229.761136544458,3.7184818534084463
E02000292,5362.1300526720715,3.729337343118119
E02000293,6372.949973079935,3.804340509331803
E02000294,4935.843938015887,3.693361419677938
E02000295,6599.79039522831,3.819530142868954
E02000296,6011.385989383891,3.778974614789037
E02000297,6131.504277359283,3.787567035564252
E02000298,6752.719959386108,3.829478739559494
E02000299,4660.582714577449,3.668440220102907
