MSOA21CD,MSOA21NM,Dist-Westminster018
E02000591,Kensington and Chelsea 015,4.902234464
E02000592,Kensington and Chelsea 016,3.616378946
E02000593,Kensington and Chelsea 017,4.561687908
E02000594,Kensington and Chelsea 018,2.994938459
E02000595,Kensington and Chelsea 019,3.642469379
E02000596,Kensington and Chelsea 020,4.304306758
E02000597,Kensington and Chelsea 021,4.46885611
E02000598,Kingston upon Thames 001,14.79407486
E02000599,Kingston upon Thames 002,13.16081863
E02000600,Kingston upon Thames 003,14.47363732
E02000601,Kingston upon Thames 004,15.3391775
E02000602,Kingston upon Thames 005,15.64729031
E02000603,Kingston upon Thames 006,15.08521876
E02000604,Kingston upon Thames 007,14.30120979
E02000605,Kingston upon Thames 008,15.08796028
E02000606,Kingston upon Thames 009,16.60116237
E02000607,Kingston upon Thames 010,16.24469898
E02000608,Kingston upon Thames 011,17.57305543
E02000609,Kingston upon Thames 012,15.82027077
E02000610,Kingston upon Thames 013,17.73602801
E02000611,Kingston upon Thames 014,16.74811569
E02000612,Kingston upon Thames 015,15.70927023
E02000613,Kingston upon Thames 016,18.2638784
E02000614,Kingston upon Thames 017,17.85750447
E02000615,Kingston upon Thames 018,19.32842867
E02000616,Kingston upon Thames 019,19.70666391
E02000617,Kingston upon Thames 020,21.85356488
E02000619,Lambeth 002,2.229047487
E02000620,Lambeth 003,2.46646483
E02000621,Lambeth 004,2.965802229
E02000622,Lambeth 005,3.485354278
E02000623,Lambeth 006,3.523878344
E02000624,Lambeth 007,3.932509037
E02000625,Lambeth 008,4.002455656
E02000626,Lambeth 009,4.644840463
E02000627,Lambeth 010,4.47274335
E02000628,Lambeth 011,4.811078916
E02000629,Lambeth 012,4.534383217
E02000630,Lambeth 013,4.853031865
E02000631,Lambeth 014,5.53033576
E02000632,Lambeth 015,5.205612837
E02000633,Lambeth 016,5.496082243
E02000634,Lambeth 017,5.373846146
E02000635,Lambeth 018,6.184549938
E02000636,Lambeth 019,5.809493021
E02000637,Lambeth 020,6.254755281
E02000638,Lambeth 021,6.481984726
E02000639,Lambeth 022,6.712949308
E02000640,Lambeth 023,6.861887952
E02000641,Lambeth 024,7.122189028
E02000642,Lambeth 025,7.580384384
E02000643,Lambeth 026,7.629603588
E02000644,Lambeth 027,8.090437004
E02000645,Lambeth 028,8.566401147
E02000646,Lambeth 029,8.17871019
E02000647,Lambeth 030,8.992106042
E02000648,Lambeth 031,9.377641351
E02000649,Lambeth 032,9.083165356
E02000650,Lambeth 033,9.819421601
E02000651,Lambeth 034,9.884196142
E02000652,Lambeth 035,10.33525088
E02000653,Lewisham 001,6.857448126
E02000654,Lewisham 002,7.484712285
E02000655,Lewisham 003,6.687817237
E02000657,Lewisham 005,8.070156141
E02000658,Lewisham 006,7.208869748
E02000659,Lewisham 007,9.934969239
E02000660,Lewisham 008,8.623952966
E02000661,Lewisham 009,10.73875865
E02000662,Lewisham 010,8.039376524
E02000663,Lewisham 011,9.247604757
E02000665,Lewisham 013,11.13446075
E02000666,Lewisham 014,9.242656032
E02000667,Lewisham 015,9.132626746
E02000668,Lewisham 016,11.82805816
E02000669,Lewisham 017,11.07990548
E02000670,Lewisham 018,10.79900243
E02000671,Lewisham 019,9.344036413
E02000672,Lewisham 020,10.21574123
E02000673,Lewisham 021,8.843970365
E02000674,Lewisham 022,11.74699016
E02000675,Lewisham 023,12.92354766
E02000676,Lewisham 024,9.891681133
E02000677,Lewisham 025,11.36526557
E02000678,Lewisham 026,12.72014677
E02000679,Lewisham 027,10.20048228
E02000680,Lewisham 028,9.53264574
E02000681,Lewisham 029,10.94429532
E02000682,Lewisham 030,12.21451803
E02000683,Lewisham 031,14.33976461
E02000685,Lewisham 033,10.05314101
E02000686,Lewisham 034,12.20216356
E02000687,Lewisham 035,10.84157523
E02000689,Merton 001,9.408917466
E02000690,Merton 002,11.16458587
E02000691,Merton 003,10.32602995
E02000692,Merton 004,11.13964225
E02000693,Merton 005,10.33171963
E02000694,Merton 006,10.54239425
E02000695,Merton 007,10.23078331
E02000696,Merton 008,10.56972409
E02000697,Merton 009,11.31877575
E02000698,Merton 010,12.71735533
E02000699,Merton 011,12.09887425
E02000700,Merton 012,11.43092288
E02000701,Merton 013,11.0760583
E02000702,Merton 014,11.69028503
E02000703,Merton 015,12.1877894
E02000704,Merton 016,13.15915575
E02000705,Merton 017,11.3799584
E02000706,Merton 018,11.67900649
E02000707,Merton 019,12.26578778
E02000708,Merton 020,14.20509921
E02000709,Merton 021,13.49703911
E02000710,Merton 022,12.70137228
E02000711,Merton 023,12.89288653
E02000712,Merton 024,13.81951599
E02000713,Merton 025,14.74912688
E02000714,Newham 001,11.90925495
E02000715,Newham 002,14.30771266
E02000716,Newham 003,13.5225163
E02000717,Newham 004,13.51528345
E02000718,Newham 005,14.34960142
E02000719,Newham 006,11.16570179
E02000720,Newham 007,12.40478108
E02000721,Newham 008,11.81885839
E02000722,Newham 009,10.90154758
E02000723,Newham 010,13.39146291
E02000724,Newham 011,12.81700605
E02000725,Newham 012,10.18321242
E02000727,Newham 014,12.30428345
E02000728,Newham 015,13.943111
E02000729,Newham 016,11.09263198
E02000730,Newham 017,11.72806055
E02000731,Newham 018,13.12144121
E02000732,Newham 019,12.50100679
E02000733,Newham 020,10.20371806
E02000734,Newham 021,10.83509116
E02000735,Newham 022,11.65538456
E02000736,Newham 023,14.1470087
E02000737,Newham 024,13.30261558
E02000738,Newham 025,12.4331099
E02000739,Newham 026,11.14565325
E02000740,Newham 027,9.94649945
E02000741,Newham 028,11.75612983
E02000742,Newham 029,12.9002907
E02000743,Newham 030,10.44174295
E02000744,Newham 031,11.10114821
E02000745,Newham 032,12.27001335
E02000746,Newham 033,14.64281238
E02000747,Newham 034,9.956931895
E02000748,Newham 035,12.85859043
E02000749,Newham 036,11.40503465
E02000751,Redbridge 001,16.28026844
E02000752,Redbridge 002,21.47944006
E02000753,Redbridge 003,19.77239591
E02000754,Redbridge 004,16.62778457
E02000755,Redbridge 005,16.78422919
E02000756,Redbridge 006,18.24149587
E02000757,Redbridge 007,14.66010436
E02000758,Redbridge 008,16.56330824
E02000759,Redbridge 009,15.23792503
E02000760,Redbridge 010,17.26407538
E02000762,Redbridge 012,16.09751846
E02000763,Redbridge 013,19.38599757
E02000764,Redbridge 014,13.5934206
E02000765,Redbridge 015,16.31583108
E02000767,Redbridge 017,16.89521591
E02000768,Redbridge 018,13.881413
E02000770,Redbridge 020,17.50319015
E02000772,Redbridge 022,18.47141678
E02000773,Redbridge 023,16.41933456
E02000774,Redbridge 024,17.49274609
E02000776,Redbridge 026,15.83287407
E02000777,Redbridge 027,12.99131401
E02000779,Redbridge 029,14.91703399
E02000781,Redbridge 031,16.78051166
E02000782,Redbridge 032,14.9843281
E02000783,Redbridge 033,15.37366143
E02000784,Richmond upon Thames 001,7.88181161
E02000785,Richmond upon Thames 002,12.10753187
